ID,COMPANY,CALS,WEIGHT
1106046,BRAKEBUSH BROTHERS INC.,176,91
1106047,BRAKEBUSH BROTHERS INC.,120,99
1106048,BRAKEBUSH BROTHERS INC.,212,85
1106049,Brakebush Brothers,200,82
1106050,BRAKEBUSH BROTHERS INC.,222,99
1106051,BRAKEBUSH BROTHERS INC.,219,73
1106052,BRAKEBUSH BROTHERS INC.,250,92
1106053,BRAKEBUSH BROTHERS INC.,190,113
1106054,Brakebush Brothers Inc.,82,170
1106055,BRAKEBUSH BROTHERS INC.,216,97
1106056,BRAKEBUSH BROTHERS INC.,188,85
1106057,BRAKEBUSH BROTHERS INC.,236,89
1106058,"Brakebush Brothers, Inc.",210,85
1106059,BRAKEBUSH BROTHERS INC.,188,85
1106060,PEPPERIDGE FARM,462,26
1106061,PEPPERIDGE FARM,571,28
1106062,Sun-Maid Growers,429,28
1106063,CAMPBELL SOUP COMPANY,29,240
1106064,Sun-Maid Growers,250,40
1106065,Daily's Premium Meats,571,21
1106066,Sun-Maid Growers,300,40
1106067,Daily's Premium Meats,571,21
1106068,Sun-Maid Growers,433,30
1106069,Sun-Maid Growers,300,40
1106070,Seaboard Foods LLC,205,112
1106071,Sun-Maid Growers,433,30
1106072,Sun-Maid Growers,316,38
1106073,CAMPBELL SOUP COMPANY,19,237
1106074,Sun-Maid Growers,300,40
1106075,PEPPERIDGE FARM,444,27
1106076,Sun-Maid Growers,250,40
1106077,Sun-Maid Growers,300,40
1106078,Sun-Maid Growers,321,14
1106079,Pura Stainless LLC ,435,23
1106080,The Kroger Co.,64,140
1106081,"Bay Valley Foods, LLC",667,30
1106083,"Dr. Praeger's Sensible Foods, Inc.",192,78
1106084,Productos Hola,166,17.5
1106085,Productos Hola,231,33.29999924
1106086,"Premier Organics, Inc.",626,30.04999924
1106087,"The Hain Celestial Group, Inc.",536,28
1106088,"Live Better Brands, LLC",464,28
1106089,Rennan J inc,56,125
1106090,"Premier Organics, Inc.",493,14.19999981
1106091,"Premier Organics, Inc.",486,14.19999981
1106092,Sierra Nevada Cheese Co.,357,28
1106093,"Schnuck Markets, Inc.",378,45
1106094,"Schnuck Markets, Inc.",304,56
1106095,"Dole Packaged Foods, LLC",85,234
1106096,Pinnacle Foods Group LLC,42,96
1106097,The Kroger Co.,433,30
1106098,"Schnuck Markets, Inc.",378,45
1106099,Rovira Biscuit Corporation,400,15
1106100,Rovira Biscuit Corporation,467,15
1106101,Rovira Biscuit Corporation,467,15
1106102,Rovira Biscuit Corporation,467,15
1106103,"Butterball, LLC",134,112
1106104,"Osi Industries, LLC",115,191
1106105,"The Hain Celestial Group, Inc.",200,90
1106106,Mrs. Fields Famous Brands LLC,464,28
1106107,J&J Snack Foods Corp,350,20
1106108,"UTZ Quality Foods, LLC",529,56.70000076
1106109,"Dole Packaged Foods, LLC",325,40
1106110,Harris-Teeter Inc.,88,17
1106111,"Flowers Foods, Inc.",256,90
1106112,"Up Country Naturals Of Vermont, Inc.",250,2
1106113,Ajinomoto USA Inc.,165,206
1106114,Ajinomoto USA Inc.,168,196
1106115,"P.J. Lisac & Associates, Inc.",179,28
1106116,Ouhlala Gourmet Corp,467,15
1106117,"Delhaize America, Inc.",393,28
1106118,Eight O'Clock Coffee,333,24
1106119,"North American Baking, Inc.",467,30
1106120,Interbake Foods Inc.,538,26
1106121,Interbake Foods Inc.,515,33
1106122,"Whole Foods Market, Inc.",357,28
1106123,Berner Food & Beverage Inc.,132,34
1106124,Famous Products Inc.,61,33
1106125,Harris-Teeter Inc.,77,130
1106126,Alvarado Street Bakery,277,47
1106127,Cooperative Regions of Organic Producer Pools,177,113
1106128,The Endangered Species Chocolate Co,581,43
1106129,"Marquez Brothers International, Inc.",33,61
1106130,"Vietti Foods Company, Inc.",273,55
1106131,HP Hood LLC,239,88
1106132,"Dole Packaged Foods, LLC",207,92
1106133,"Weis Markets, Inc.",319,113
1106134,"Dbc, Inc.",481,27
1106135,"Topco Associates, Inc.",41,245
1106136,Turkey Hill Dairy Inc.,230,87
1106137,"American Halal Company, Inc. ",429,28
1106138,Maple Grove Farms Of Vermont Inc.,4,240
1106139,PANOS Brands LLC ,0,15
1106140,"Bay Valley Foods, LLC",267,30
1106141,"Ahold USA, Inc. ",357,70
1106142,"Dole Packaged Foods, LLC",57,140
1106143,Turkey Hill Dairy Inc.,230,61
1106144,Harris-Teeter Inc.,108,130
1106145,"Ole Mexican Foods, Inc.",250,28
1106146,Wisconsin Cheese Group Inc.,286,28
1106147,"Danone US, LLC",53,113
1106148,"Furman Foods, Inc.",22,116
1106149,"Furman Foods, Inc.",32,63
1106150,"Furman Foods, Inc.",34,119
1106151,La Preferida Inc,85,130
1106152,"Del Grosso Foods, Inc.",62,64
1106153,Gorton's of Gloucester ,89,101
1106154,"Del Grosso Foods, Inc.",94,64
1106155,"Furman Foods, Inc.",29,120
1106156,Ruiz Food Products Inc,234,128
1106157,"Wal-Mart Stores, Inc.",400,30
1106158,"Wal-Mart Stores, Inc.",375,8
1106159,"Peanut Butter & Co, Inc. ",531,32
1106160,"Sprout Foods, Inc.",429,28
1106161,"Sprout Foods, Inc.",83,156
1106162,"Sprout Foods, Inc.",381,21
1106163,T. Marzetti Company,167,36
1106164,T. Marzetti Company,500,30
1106165,Sargento Foods Inc,400,30
1106166,Smithfield Packaged Meats Corp.,321,56
1106167,Riviana Foods Inc.,375,56
1106168,"Wal-Mart Stores, Inc.",106,113
1106169,"B&G Foods North America, Inc. ",400,65
1106170,Cooperative Regions of Organic Producer Pools,88,170
1106171,"Bob's Red Mill Natural Foods, Inc.",393,61
1106172,Hormel Foods Corporation ,393,28
1106173,Hormel Foods Corporation ,393,28
1106174,Hormel Foods Corporation ,393,28
1106175,Bristol-Myers Squibb/Mead Johnson Nutritionals,400,25
1106176,Bristol-Myers Squibb/Mead Johnson Nutritionals,400,25
1106177,Kemps LLC ,242,66
1106178,Kemps LLC ,182,66
1106179,Kemps LLC ,212,66
1106180,"B&G Foods, Inc.",333,6
1106181,El Pinto Inc.,33,30
1106182,"Kent Precision Foods Group, Inc.",357,7
1106183,"Kent Precision Foods Group, Inc.",357,7
1106184,"Maplehurst Bakeries, LLC",257,35
1106185,"Taylor Fresh Foods, Inc.",18,85
1106186,"Bay Valley Foods, LLC",600,30
1106187,"Cugino's Gourmet Foods, Inc.",346,26
1106188,Chris Candy Co Inc,310,42
1106189,Chris Candy Co Inc,325,40
1106190,Chris Candy Co Inc,326,43
1106191,Chris Candy Co Inc,300,40
1106192,Chris Candy Co Inc,325,40
1106193,Chris Candy Co Inc,308,39
1106194,"Ocean Spray Cranberries, Inc.",103,100
1106195,Northern Connection LLC,138,100
1106196,Blue Diamond Growers,535,43
1106197,"Ventura Foods, L.L.C.",429,14
1106198,Mahco Inc,270,100
1106199,Arizona Babies L.L.C.,0,36
1106200,"Associated Wholesale Grocers, Inc.",56,124
1106201,"Associated Wholesale Grocers, Inc.",63,126
1106202,"Associated Wholesale Grocers, Inc.",56,126
1106203,"Associated Wholesale Grocers, Inc.",56,126
1106204,"Associated Wholesale Grocers, Inc.",200,60
1106205,"Land O'Lakes, Inc.",106,113
1106206,"Nutcracker Brands, Inc.",607,28
1106208,Orkla Confectionery and Snacks Finland Ab,325,40
1106209,"Log House Foods, Inc.",467,15
1106210,"Topco Associates, Inc.",536,28
1106211,"Schnuck Markets, Inc.",378,45
1106212,"Hy-Vee, Inc.",714,14
1106213,"Hy-Vee, Inc.",250,20
1106214,"Schnuck Markets, Inc.",429,7
1106215,"Schnuck Markets, Inc.",368,19
1106216,Lipton,263,1.899999976
1106217,HP Hood LLC,286,21
1106218,Rovira Biscuit Corporation,400,15
1106219,T. Marzetti Company,500,32
1106220,Conservas La Costena S.A.,85,130
1106221,Conservas La Costena S.A.,100,130
1106222,Conservas La Costena S.A.,75,120
1106223,Profood International Corp.,381,42
1106224,"UTZ Quality Foods, LLC",529,56.70000076
1106225,Cafe Valley Inc,391,64
1106226,Colonna Brothers,400,5
1106227,"Associated Wholesale Grocers, Inc.",56,125
1106228,"Associated Wholesale Grocers, Inc.",375,40
1106229,House-Autry Mills Inc.,333,6
1106230,"Colavita USA, LLC ",56,125
1106231,"Vietti Foods Company, Inc.",56,18
1106232,"That's It Nutrition, LLC ",286,35
1106233,"Borden, Inc.",316,19
1106234,"Borden, Inc.",412,17
1106235,Bar-S Foods Co.,108,37
1106236,Ouhlala Gourmet Corp,339,28
1106237,"Schnuck Markets, Inc.",429,7
1106238,"Schnuck Markets, Inc.",429,7
1106239,Hormel Foods Corporation ,103,213
1106240,Del Monte Foods Inc.,63,126
1106241,Harris-Teeter Inc.,165,85
1106242,Harris-Teeter Inc.,141,85
1106243,Cooperative Regions of Organic Producer Pools,393,28
1106244,"Marquez Brothers International, Inc.",200,25
1106245,"Marquez Brothers International, Inc.",60,100
1106246,Harris-Teeter Inc.,53,113
1106247,"Chuckanut Bay Foods, LLC",336,113
1106248,"Reser's Fine Foods, Inc.",129,140
1106249,Peach Records Associates LLC,155,100
1106250,"Ole Mexican Foods, Inc.",250,52
1106251,"Premier Organics, Inc.",581,32
1106252,Ouhlala Gourmet Corp,438,16
1106253,Ouhlala Gourmet Corp,467,15
1106254,"Clemens Food Group, LLC",293,41
1106255,"Hickory Foods, Inc.",170,112
1106256,Sokol And Company,361,36
1106257,"United Natural Foods, Inc.",400,15
1106258,"United Natural Foods, Inc.",400,15
1106259,"United Natural Foods, Inc.",400,15
1106260,"United Natural Foods, Inc.",467,15
1106261,"United Natural Foods, Inc.",500,14
1106262,"United Natural Foods, Inc.",467,15
1106263,"United Natural Foods, Inc.",467,15
1106264,"TH Foods, Inc.",400,30
1106265,Odlum Mills Limited,371,35
1106266,"Post Consumer Brands, LLC",371,35
1106267,"Wise Foods, Inc.",571,28
