ID,COMPANY,CALS,WEIGHT
1120271,J&J Snack Foods Corp,350,20
1120272,"Hy-Vee, Inc.",32,31
1120273,"Faribault Foods, Inc.",115,130
1120274,The Kroger Co.,286,21
1120275,"Whole Foods Market, Inc.",536,28
1120276,"Topco Associates, Inc.",28,125
1120277,AgriMissouri,22,134
1120278,The Kroger Co.,40,354
1120279,"Weis Markets, Inc.",393,28
1120280,"Safeway, Inc.",421,38
1120281,"Whole Foods Market, Inc.",500,30
1120282,Original Gourmet Food Company Inc.,516,31
1120283,"Hy-Vee, Inc.",24,123
1120284,"Hy-Vee, Inc.",357,28
1120285,Harris-Teeter Inc.,44,113
1120286,"Talking Rain Beverage Co., Inc",0,240
1120287,"Goya Foods, Inc. ",536,28
1120288,"Hy-Vee, Inc.",607,28
1120289,"Hatch Farms, Inc.",33,30
1120290,J&J Snack Foods Corp,400,50
1120291,"Vital Solutions, Inc.",202,84
1120292,Riviana Foods Inc.,357,56
1120293,"Wal-Mart Stores, Inc.",25,61
1120294,Harris-Teeter Inc.,250,88
1120295,J&J Snack Foods Corp,250,64
1120296,Target Stores,153,85
1120297,"Safeway, Inc.",89,112
1120298,Harris-Teeter Inc.,239,88
1120299,Target Stores,238,80
1120300,"Hy-Vee, Inc.",21,121
1120301,"Love Your Health Foods, LLC",429,28
1120302,Kingston Marketing Co,375,4
1120303,The Jel Sert Company,100,170
1120304,"Hy-Vee, Inc.",250,64
1120305,Blue Runner Foods Inc.,44,79
1120306,"Unified Grocers, Inc.",0,5
1120307,J&J Snack Foods Corp,360,50
1120308,Sun-Maid Growers of California,321,28
1120309,"Crunch Pak Holding Company, LLC",49,51
1120310,"B&G Foods North America, Inc. ",371,35
1120311,"Hy-Vee, Inc.",25,61
1120312,"Safeway, Inc.",129,85
1120313,Harris-Teeter Inc.,59,85
1120314,La Tortilla Factory Inc,227,11
1120315,The Kroger Co.,533,30
1120316,"Wal-Mart Stores, Inc.",29,85
1120317,Trusouth Oil LLC,438,32
1120318,Fresh Gourmet Company,444,9
1120319,"Hy-Vee, Inc.",393,28
1120320,"Hy-Vee, Inc.",381,21
1120321,"Wal-Mart Stores, Inc.",475,40
1120322,"Hy-Vee, Inc.",357,56
1120323,"Hy-Vee, Inc.",25,121
1120324,"Post Consumer Brands, LLC",394,33
1120325,"Publix Super Markets, Inc.",455,55
1120326,Smart & Final Iris Corporation,400,15
1120327,Bare Foods Co.,393,28
1120328,"Hy-Vee, Inc.",21,121
1120329,Calip Holdings Inc.,85,118
1120330,Smart & Final Iris Corporation,33,30
1120331,Simple Mills,500,22
1120332,"Hy-Vee, Inc.",393,28
1120333,"Hy-Vee, Inc.",357,56
1120334,"Hy-Vee, Inc.",250,64
1120335,"Hy-Vee, Inc.",24,123
1120336,Smart & Final Iris Corporation,439,57
1120337,Raley's,562,32
1120338,J&J Snack Foods Corp,260,50
1120339,The Kroger Co.,500,28
1120340,"B&G Foods North America, Inc. ",371,35
1120341,"Safeway, Inc.",421,38
1120342,Harris-Teeter Inc.,375,104
1120343,"Meat Production, Inc.",262,103
1120344,"7-Eleven, Inc.",268,127
1120345,"Hy-Vee, Inc.",275,25.5
1120346,"Hy-Vee, Inc.",381,21
1120347,"Hy-Vee, Inc.",21,121
1120348,"Once Upon a Farm, LLC ",80,113
1120349,"SpritzByFritz, LLC",25,240
1120350,"Hy-Vee, Inc.",393,28
1120351,J&J Snack Foods Corp,266,64
1120353,"Hy-Vee, Inc.",205,112
1120354,"Hy-Vee, Inc.",25,61
1120355,"Wal-Mart Stores, Inc.",351,37
1120356,"Topco Associates, Inc.",0,5
1120357,TWO-BITE,423,71
1120358,"Supervalu, Inc.",172,128
1120359,"Once Upon a Farm, LLC ",49,91
1120360,"Hy-Vee, Inc.",21,121
1120361,AgriMissouri,59,34
1120362,Clif Bar and Company,368,68
1120363,Sweet Earth Natural Foods,192,52
1120364,"Whole Foods Market, Inc.",500,30
1120365,"Wegmans Food Markets, Inc. ",0,1.200000048
1120366,"Whole Foods Market, Inc.",267,30
1120367,J&J Snack Foods Corp,102,48.79999924
1120368,"Bay Valley Foods, LLC",536,28
1120369,TWO-BITE,423,71
1120370,"Sovos Brands Intermediate, Inc.",67,60
1120371,J&J Snack Foods Corp,2000,120
1120372,Target Stores,107,84
1120373,"Hy-Vee, Inc.",32,31
1120374,AdvancePierre Foods Inc.,295,112
1120375,"Wal-Mart Stores, Inc.",536,56
1120376,T. Marzetti Company,571,7
1120377,"Publix Super Markets, Inc.",455,55
1120378,"Hy-Vee, Inc.",33,61
1120379,PRIMA DELLA,125,56
1120380,"Talking Rain Beverage Co., Inc",0,240
1120381,"Bliss Unlimited, LLC",320,75
1120382,"Hy-Vee, Inc.",91,33
1120383,"Hy-Vee, Inc.",33,61
1120384,"Whole Foods Market, Inc.",17,240
1120385,"Hy-Vee, Inc.",467,15
1120386,Calip Holdings Inc.,85,118
1120387,La Tortilla Factory Inc,150,40
1120388,"Bell-Carter Foods, LLC",133,15
1120389,"Goya Foods, Inc. ",90,122
1120390,"Wal-Mart Stores, Inc.",23,130
1120391,AgriMissouri,59,34
1120392,"Madhava Honey, Ltd.",375,4
1120393,The Kroger Co.,321,28
1120394,Swift-Eckrich Inc.,340,50
1120395,Harris-Teeter Inc.,106,113
1120396,"C.P. Food Products, Inc.",101,258
1120397,"Hy-Vee, Inc.",21,121
1120398,"Hy-Vee, Inc.",257,113
1120399,"Hy-Vee, Inc.",500,14
1120400,Smithfield Packaged Meats Corp.,107,56
1120401,"Hy-Vee, Inc.",21,121
1120402,"Whole Foods Market, Inc.",46,240
1120403,La Tortilla Factory Inc,250,14
1120404,"Hy-Vee, Inc.",32,31
1120405,"Bimbo Bakeries USA, Inc.",383,47
1120406,Sun-Maid Growers of California,321,28
1120407,Harris-Teeter Inc.,59,85
1120408,Target Stores,129,85
1120409,"Post Consumer Brands, LLC",415,41
1120410,"Hy-Vee, Inc.",571,28
1120411,J&J Snack Foods Corp,380,50
1120413,"Talking Rain Beverage Co., Inc",0,240
1120414,Riviana Foods Inc.,357,56
1120415,Stater Bros. Markets Inc.,415,41
1120416,Mount Olive Pickle Company Inc.,107,28
1120417,"Continental Mills, Inc. ",395,38
1120418,Simple Mills,500,22
1120420,Cookies Food Products Inc.,263,38
1120421,Harris-Teeter Inc.,179,140
1120422,Glencourt Inc.,562,32
1120423,"Danone US, LLC",152,66
1120424,Rileys All Purpose Seasoning,0,1.200000048
1120425,Bare Foods Co.,393,28
1120426,"Safeway, Inc.",310,126
1120427,J&J Snack Foods Corp,101,89
1120428,"Bimbo Bakeries USA, Inc.",175,57
1120429,"Hy-Vee, Inc.",32,31
1120430,"Hy-Vee, Inc.",536,28
1120431,"Minsley, Inc.",162,105
1120432,Litehouse Inc.,533,30
1120433,Rich Products Corporation,280,118
1120434,Litehouse Inc.,133,30
1120435,"Topco Associates, Inc.",36,360
1120436,Smart & Final Iris Corporation,456,57
1120437,Old Orchard Brands LLC.,6,240
1120438,"The Hain Celestial Group, Inc.",15,240
1120439,"Hy-Vee, Inc.",21,121
1120440,Rich Products Corporation,375,88
1120441,"Hy-Vee, Inc.",21,121
1120442,Glorybee Honey & Supplies,286,21
1120443,"Whole Foods Market, Inc.",,113
1120444,Food City,368,57
1120445,Starbucks Coffee Company,433,30
1120446,The Kroger Co.,276,76
1120447,"Whole Foods Market, Inc.",51,450
1120448,"Once Upon a Farm, LLC ",101,99
1120449,The Kroger Co.,40,354
1120450,"Hy-Vee, Inc.",24,123
1120451,Glencourt Inc.,40,125
1120452,"Whole Foods Market, Inc.",202,114
1120453,Litehouse Inc.,200,30
1120454,"Hy-Vee, Inc.",351,57
1120455,J&J Snack Foods Corp,2500,180
1120456,"Faribault Foods, Inc.",123,130
1120457,"Once Upon a Farm, LLC ",49,91
1120458,J&J Snack Foods Corp,380,50
1120459,Calip Holdings Inc.,85,118
1120460,"Hy-Vee, Inc.",32,31
1120461,Garza Food Ventures,536,28
1120462,"Minsley, Inc.",162,105
1120463,"Safeway, Inc.",196,112
1120464,"Faribault Foods, Inc.",85,130
1120465,"Whole Foods Market, Inc.",857,14
1120466,Harris-Teeter Inc.,44,113
1120467,SmashMallow,333,30
1120468,"The Silver Palate, Inc.",367,49
1120469,"Hy-Vee, Inc.",33,61
1120470,J&J Snack Foods Corp,102,48.79999924
1120471,Blue Runner Foods Inc.,263,118
1120472,GS1 Mexico,460,50
1120473,Simple Mills,522,23
1120474,"Wal-Mart Stores, Inc.",50,240
1120475,"Wal-Mart Stores, Inc.",378,37
1120476,"Whole Foods Market, Inc.",38,237
1120477,PERDUE,196,92
1120478,Starbucks Coffee Company,467,30
1120479,The Kroger Co.,0,0.25
1120480,Harris-Teeter Inc.,304,23
1120481,"Hy-Vee, Inc.",32,31
1120482,Harris-Teeter Inc.,304,23
1120483,"Tyson Foods, Inc.",119,84
1120484,"Hy-Vee, Inc.",21,121
1120485,J&J Snack Foods Corp,350,20
1120486,Litehouse Inc.,433,30
1120487,"TH Foods, Inc.",433,30
1120488,"Hy-Vee, Inc.",32,31
1120489,"Whole Foods Market, Inc.",300,40
1120490,McIlhenny Company,0,5
1120491,Glencourt Inc.,562,32
1120492,"Hy-Vee, Inc.",200,60
1120493,"Hy-Vee, Inc.",91,33
1120494,Taza Chocolate,600,35
1120495,"B&G Foods, Inc.",375,4
1120496,Starbucks Coffee Company,500,30
1120497,"Sovos Brands Intermediate, Inc.",80,125
1120498,"Safeway, Inc.",375,56
1120499,"Dole Packaged Foods, LLC",44,113
1120500,"Bimbo Bakeries USA, Inc.",279,43
1120501,"Wal-Mart Stores, Inc.",286,28
1120502,"Sovos Brands Intermediate, Inc.",72,125
1120503,Smithfield Packaged Meats Corp.,286,56
1120504,The Kroger Co.,40,354
1120505,"Whole Foods Market, Inc.",536,28
1120506,"Wis-Pak, Inc.",1,355
1120507,The Kroger Co.,800,15
1120508,"Hy-Vee, Inc.",32,31
1120509,"Safeway, Inc.",51,355
1120510,"George DeLallo Co., Inc.",24,125
1120511,Blue Runner Foods Inc.,263,118
1120512,Sun-Maid Growers of California,321,28
1120513,"Swerve, LLC",0,3
1120514,Sun-Maid Growers of California,250,40
1120515,J&J Snack Foods Corp,360,50
1120516,"Simply Fresh, LLC",133,30
1120517,Harris-Teeter Inc.,400,30
1120518,"Safeway, Inc.",382,55
1120519,"Whole Foods Market, Inc.",47,450
1120520,"Wegmans Food Markets, Inc. ",500,28
1120521,Corona - Lotus N.V.,484,31
1120522,"Hy-Vee, Inc.",21,121
1120523,"Hy-Vee, Inc.",21,121
1120524,"Quest Nutrition, LLC",212,156
1120525,"Idahoan Foods, LLC",393,28
1120526,"Inventive Products Laboratories, Inc.",500,24
1120527,J&J Snack Foods Corp,360,50
1120528,"Post Consumer Brands, LLC",415,41
1120529,"Grassland Dairy Products, Inc.",714,14
1120530,"B&G Foods North America, Inc. ",194,18
1120531,Gilbert's Craft Sausages,169,71
1120532,Rafael Padilla & Cia S. En C.,433,30
1120533,"Bimbo Bakeries USA, Inc.",231,65
1120534,"Seapoint Farms, LLC",147,75
1120535,"Seapoint Farms, LLC",147,75
1120536,"Bimbo Bakeries USA, Inc.",228,57
1120537,"Topco Associates, Inc.",393,28
1120538,CLOVER VALLEY,16,125
1120539,"Brandstorm Inc,",357,28
1120540,"Brandstorm Inc,",0,1
1120541,"Brandstorm Inc,",395,43
1120542,"Brandstorm Inc,",417,6
1120543,"Brandstorm Inc,",485,33
1120544,"Brandstorm Inc,",417,6
1120545,Litehouse Inc.,400,30
1120546,Harris-Teeter Inc.,357,56
1120547,Nissin Foods USA Co Inc,438,80
1120548,"Whole Foods Market, Inc.",69,245
1120549,"Whole Foods Market, Inc.",33,245
1120550,Nissin Foods USA Co Inc,452,73
1120551,"Hostess Brands, LLC",423,52
1120552,Stonyfield Farm Inc,191,68
1120553,"Wal-Mart Stores, Inc.",339,56
1120554,Fieldbrook Foods,167,78
1120555,"Rebbl, Inc.",1833,360
1120556,"Birch Benders, Inc.",306,62
1120557,Target Stores,432,37
1120558,"Dairyfood USA, Inc.",314,70
1120559,"Wells Enterprises, Inc.",224,49
1120560,"Topco Associates, Inc.",367,30
1120561,"The Topps Company, Inc.",346,26
1120562,J&J Snack Foods Corp,322,59
1120563,"Safeway, Inc.",258,89
1120564,T. Marzetti Company,194,31
1120565,T. Marzetti Company,194,31
1120566,"Snyder's-Lance, Inc.",429,28
1120567,T. Marzetti Company,300,30
1120568,T. Marzetti Company,194,31
1120569,T. Marzetti Company,188,32
1120570,"Bimbo Bakeries USA, Inc.",281,57
1120571,"Sanpellegrino Usa, Inc.",39,330
1120572,"Schnuck Markets, Inc.",357,56
1120573,"Schnuck Markets, Inc.",196,56
1120574,Sweet Earth Natural Foods,106,255
1120575,The Pictsweet Company,58,86
1120576,Vink & Beri LLC,0,600
1120577,Vink & Beri LLC,0,600
1120578,"Suja Life, LLC",13,237
1120579,"Evolution Fresh, Inc.",19,240
1120580,"Evolution Fresh, Inc.",19,240
1120581,"Evolution Fresh, Inc.",17,240
1120582,"Evolution Fresh, Inc.",19,240
1120583,"Evolution Fresh, Inc.",19,240
1120584,Original Gourmet Food Company Inc.,375,12
1120585,Smart & Final Iris Corporation,52,29
1120586,"Wal-Mart Stores, Inc.",49,245
1120587,"Wal-Mart Stores, Inc.",133,30
1120588,"Wal-Mart Stores, Inc.",333,15
1120589,EVR Foods Inc ,93,150
1120590,EVR Foods Inc ,100,150
1120591,EVR Foods Inc ,107,150
1120592,EVR Foods Inc ,93,150
1120594,"Hy-Vee, Inc.",464,28
1120595,"Wal-Mart Stores, Inc.",414,128
1120596,The Kroger Co.,311,106
1120597,Gilster Marylee  C/o Ko-Pak Inc.,375,40
1120598,Katalina Holding Company,211,19
1120599,"The New Primal, LLC",100,15
1120603,Katalina Holding Company,167,30
1120604,Katalina Holding Company,0,5
1120605,Katalina Holding Company,83,60
1120606,Katalina Holding Company,211,19
1120607,Katalina Holding Company,129,31
1120608,Katalina Holding Company,58,60
1120609,J&J Snack Foods Corp,82,48.79999924
1120610,J&J Snack Foods Corp,82,48.79999924
1120611,"Wal-Mart Stores, Inc.",76,33
1120612,Target Stores,282,78
1120613,Target Stores,259,85
1120614,Target Stores,275,80
1120615,Target Stores,226,84
1120616,Target Stores,179,112
1120617,Target Stores,226,84
1120618,Target Stores,131,84
1120619,Target Stores,226,84
1120620,Target Stores,202,84
1120621,Target Stores,247,73
1120622,Target Stores,119,84
1120623,Target Stores,214,84
1120624,Target Stores,202,84
1120625,Kalahari Foods LLC,286,56
1120626,Target Stores,98,112
1120627,Target Stores,89,112
1120628,"Whole Foods Market, Inc.",350,60
1120629,"Hy-Vee, Inc.",500,14
1120630,J&J Snack Foods Corp,82,48.79999924
1120631,"Hy-Vee, Inc.",357,56
1120632,"Wal-Mart Stores, Inc.",378,45
1120633,"Wal-Mart Stores, Inc.",400,45
1120634,"Whole Foods Market, Inc.",0,1
1120635,"Hostess Brands, LLC",390,105
1120636,"Hy-Vee, Inc.",393,28
1120637,"Hy-Vee, Inc.",393,28
1120638,"Hy-Vee, Inc.",393,28
1120639,"Hy-Vee, Inc.",286,28
1120640,"Hy-Vee, Inc.",393,28
1120641,"Sanpellegrino Usa, Inc.",20,250
1120642,"Inventive Products Laboratories, Inc.",458,24
1120643,"Meijer, Inc.",357,28
1120644,"Wal-Mart Stores, Inc.",250,28
1120645,Rileys All Purpose Seasoning,0,1.200000048
1120646,Rileys All Purpose Seasoning,0,1.100000024
1120647,Rileys All Purpose Seasoning,0,0.899999976
1120648,Daisy Brand,133,30
1120649,Mount Olive Pickle Company Inc.,18,28
1120650,Mount Olive Pickle Company Inc.,18,28
1120651,Krause Gentle Corporation,14,296
1120652,Blue Runner Foods Inc.,186,118
1120653,Noisebusters Inc.,414,56
1120654,Gilster Marylee  C/o Ko-Pak Inc.,323,99
1120656,BJ's Wholesale Club / Corporate Brands,12,85
1120657,"Topco Associates, Inc.",312,16
1120658,"Topco Associates, Inc.",312,16
1120659,"Topco Associates, Inc.",333,27
1120660,"Topco Associates, Inc.",400,15
1120661,TWO-BITE,460,50
1120662,Mario Camacho Foods LLC,100,15
1120663,The Kroger Co.,375,8
1120664,"Hy-Vee, Inc.",282,71
1120665,"Topco Associates, Inc.",48,125
1120666,"Sanpellegrino Usa, Inc.",0,330
1120667,"Sanpellegrino Usa, Inc.",0,330
1120668,"Sanpellegrino Usa, Inc.",0,330
1120669,"Wal-Mart Stores, Inc.",500,32
1120670,"Mann Packing Company, Inc.",29,85
1120671,"Thanasi Foods, LLC",500,28
1120672,"Wal-Mart Stores, Inc.",184,38
1120673,"Hy-Vee, Inc.",25,240
1120674,Noisebusters Inc.,429,56
1120675,"Whole Foods Market, Inc.",357,56
1120676,"Swerve, LLC",0,4
1120677,"Whole Foods Market, Inc.",271,85
1120678,"Wegmans Food Markets, Inc. ",221,149
1120679,"Bionutritional Research Group, Inc.",531,32
1120680,"Hy-Vee, Inc.",372,43
1120681,"Hy-Vee, Inc.",419,43
1120682,"Hy-Vee, Inc.",419,43
1120683,"Hy-Vee, Inc.",37,245
1120684,Smart & Final Iris Corporation,440,25
1120685,Smart & Final Iris Corporation,480,25
1120686,The Crons Brand,396,53
1120687,Smart & Final Iris Corporation,480,25
1120688,Smart & Final Iris Corporation,440,25
1120689,"Transnational Foods, Inc.",83,30
1120690,"Transnational Foods, Inc.",117,30
1120691,Harris-Teeter Inc.,385,26
1120692,"Quest Nutrition, LLC",407,59
1120693,"Whole Foods Market, Inc.",367,30
1120694,La Quercia LLC,643,28
1120695,"Quest Nutrition, LLC",379,58
1120696,The Kroger Co.,464,28
1120697,"Hy-Vee, Inc.",0,2
1120698,"Whole Foods Market, Inc.",333,6
1120699,"Bionutritional Research Group, Inc.",531,32
1120700,"Whole Foods Market, Inc.",263,38
1120701,"Sovos Brands Intermediate, Inc.",508,63
1120702,Smart & Final Iris Corporation,421,57
1120703,EVR Foods Inc ,107,150
1120704,EVR Foods Inc ,123,150
1120705,EVR Foods Inc ,123,150
1120706,"Wal-Mart Stores, Inc.",226,84
1120707,Smart & Final Iris Corporation,33,30
1120708,"Hy-Vee, Inc.",72,125
1120709,"La Tourangelle, Inc",367,30
1120710,"La Tourangelle, Inc",467,30
1120711,"La Tourangelle, Inc",367,30
1120712,Astra Radio Communications,533,30
1120713,Ferrara Candy Company,346,26
1120714,"Wise Foods, Inc.",500,28
1120715,"Bake City, LLC",351,57
1120716,"Home Market Foods, Inc.",95,84
1120717,"Atkins Nutritionals, Inc.",357,28
1120718,"Atkins Nutritionals, Inc.",528,36
1120719,KSF Acquisition Corporation,400,45
1120720,KSF Acquisition Corporation,338,65
1120721,Nash Finch Company,0,15
1120722,"Hy-Vee, Inc.",357,56
1120723,Gilster Marylee  C/o Ko-Pak Inc.,357,70
1120724,Clif Bar and Company,368,68
1120725,Clif Bar and Company,368,68
1120726,"Wal-Mart Stores, Inc.",385,39
1120727,"The Hain Celestial Group, Inc.",594,32
1120728,Farmwise LLC,259,85
1120729,"Taylor Fresh Foods, Inc.",190,100
1120730,"Hy-Vee, Inc.",0,2.5
1120731,Abbott Laboratories Inc ,383,60
1120732,"Whole Foods Market, Inc.",42,330
1120733,The Kroger Co.,429,28
1120734,"Whole Foods Market, Inc.",48,330
1120735,"Whole Foods Market, Inc.",45,330
1120736,"Whole Foods Market, Inc.",228,57
1120737,Dawn Anderson LLC,529,51
1120738,"Whole Foods Market, Inc.",44,360
1120739,Zatarain's Inc.,321,14
1120740,"Forager Project, LLC",38,240
1120741,"The Promotion In Motion Companies, Inc.",308,22.70000076
1120742,"Giorgio Foods, Inc.",140,57
1120743,New Frontier Foods Inc. ,4,245
1120744,"UTZ Quality Foods, LLC",536,28
1120745,"UTZ Quality Foods, LLC",571,14
1120746,Anderson Dairy Inc,129,240
1120747,TWO-BITE,408,71
1120748,"Whole Foods Market, Inc.",113,106
1120749,"Wal-Mart Stores, Inc.",333,60
1120750,"Hy-Vee, Inc.",393,28
1120751,Rafael Padilla & Cia S. En C.,82,85
1120752,"Hy-Vee, Inc.",321,28
1120753,"Hy-Vee, Inc.",64,125
1120754,"Hy-Vee, Inc.",56,125
1120755,"Hy-Vee, Inc.",48,125
1120756,"Hy-Vee, Inc.",80,125
1120757,"Hy-Vee, Inc.",96,125
1120758,"Hy-Vee, Inc.",250,28
1120759,Dare Foods Inc,438,16
1120760,"Hy-Vee, Inc.",96,125
1120761,"Hy-Vee, Inc.",78,245
1120762,The Quaker Oats Company,378,37
1120763,"Hy-Vee, Inc.",500,28
1120764,"Hy-Vee, Inc.",500,28
1120765,"Whole Foods Market, Inc.",571,28
1120766,Nash Finch Company,393,28
1120767,Nash Finch Company,33,15
1120768,"Hatch Farms, Inc.",33,30
1120769,The Carrington Tea Company LLC.,429,7
1120770,The Carrington Tea Company LLC.,500,7
1120771,"McCormick & Company, Inc.",286,3.5
1120772,"Hy-Vee, Inc.",6,240
1120773,"Hy-Vee, Inc.",80,125
1120774,"Hy-Vee, Inc.",80,125
1120775,"Whole Foods Market, Inc.",250,40
1120776,"Hy-Vee, Inc.",48,125
1120777,"Hy-Vee, Inc.",48,125
1120778,"P.C. Woo, Inc.",333,6
1120779,"Wal-Mart Stores, Inc.",400,30
1120780,"Hy-Vee, Inc.",56,125
1120781,"Hy-Vee, Inc.",48,125
1120782,"Hy-Vee, Inc.",112,125
1120783,Kid Tested Tunes,519,27
1120784,"Whole Foods Market, Inc.",242,33
1120785,"Whole Foods Market, Inc.",625,240
1120786,"Whole Foods Market, Inc.",250,40
1120787,"JaceyCakes, LLC ",400,55
1120788,"JaceyCakes, LLC ",418,55
1120789,"JaceyCakes, LLC ",418,55
1120790,"JaceyCakes, LLC ",400,55
1120791,BJ's Wholesale Club / Corporate Brands,80,112
1120792,Lotus Foods,386,57
1120793,Lotus Foods,368,57
1120794,Lotus Foods,368,57
1120795,Original Gourmet Food Company Inc.,516,31
1120796,"Sanpellegrino Usa, Inc.",0,330
1120797,"Sanpellegrino Usa, Inc.",0,330
1120798,"Sanpellegrino Usa, Inc.",0,330
1120799,"Sanpellegrino Usa, Inc.",0,330
1120800,"Whole Foods Market, Inc.",264,53
1120801,"Whole Foods Market, Inc.",219,32
1120802,The Kroger Co.,367,30
1120803,Master Sales Company,286,21
1120804,"Whole Foods Market, Inc.",256,43
1120805,Zukay Live Foods,34,59
1120806,"Whole Foods Market, Inc.",226,53
1120807,The Kroger Co.,429,28
1120808,The Kroger Co.,46,240
1120809,TWO-BITE,423,71
1120810,"Whole Foods Market, Inc.",33,30
1120811,The Kroger Co.,99,142
1120812,"John Volpi & Co., Inc.",393,28
1120813,"Glanbia Performance Nutrition, Inc. ",345,29
1120814,"Lucky Foods, LLC",100,5
1120815,"Whole Foods Market, Inc.",571,28
1120816,"Whole Foods Market, Inc.",57,140
1120817,"Whole Foods Market, Inc.",175,114
1120818,"Whole Foods Market, Inc.",0,360
1120819,"Whole Foods Market, Inc.",202,114
1120820,"Whole Foods Market, Inc.",0,5
1120821,BJ's Wholesale Club / Corporate Brands,667,30
1120822,"Wal-Mart Stores, Inc.",179,56
1120823,"Safeway, Inc.",21,240
1120824,"Wis-Pak, Inc.",0,355
1120825,"Whole Foods Market, Inc.",250,64
1120826,Anderson Dairy Inc,62,240
1120827,Homeboy Industries,150,30
1120828,"Hostess Brands, LLC",367,120
1120829,"Hostess Brands, LLC",358,120
1120830,"Hostess Brands, LLC",358,120
1120831,Tootsie Roll Industries Inc.,417,36
1120832,Tootsie Roll Industries Inc.,389,18
1120833,Tootsie Roll Industries Inc.,389,18
1120834,"Land O'Lakes, Inc.",643,14
1120835,Target Stores,0,15
1120836,Keep Moving Inc,73,110
1120837,"Hy-Vee, Inc.",450,40
1120838,"Whole Foods Market, Inc.",271,85
1120839,"Whole Foods Market, Inc.",264,53
1120840,"Whole Foods Market, Inc.",264,53
1120841,"Wis-Pak, Inc.",0,355
1120842,"Whole Foods Market, Inc.",242,33
1120843,Dare Foods Inc,438,16
1120844,"Whole Foods Market, Inc.",282,85
1120845,"Whole Foods Market, Inc.",289,38
1120846,"Whole Foods Market, Inc.",242,33
1120847,Dare Foods Inc,438,16
1120848,"Whole Foods Market, Inc.",273,33
1120849,Homeboy Industries,150,30
1120850,Pinnacle Foods Group LLC,108,240
1120851,Smart & Final Iris Corporation,375,240
1120852,Five Star Gourmet Foods Inc.,206,170
1120853,"Whole Foods Market, Inc.",280,50
1120854,"Kikkoman Sales USA, Inc.",100,15
1120855,Garden Botanika,200,50
1120856,"Whole Foods Market, Inc.",571,28
1120857,Kalahari Foods LLC,286,56
1120858,Pinnacle Foods Group LLC,29,87
1120859,"Whole Foods Market, Inc.",260,50
1120860,John Soules Foods Inc.,178,73
1120861,World Waters LLC.,6,237
1120862,The Kroger Co.,460,50
1120863,"Fulfill Food & Beverages, LLC",28,360
1120864,"Perfection Bakeries, Inc.",273,66
1120865,"Perfection Bakeries, Inc.",205,44
1120866,"Perfection Bakeries, Inc.",259,27
1120867,"Perfection Bakeries, Inc.",265,34
1120868,"Perfection Bakeries, Inc.",273,44
1120869,"Perfection Bakeries, Inc.",273,66
1120870,"Perfection Bakeries, Inc.",279,43
1120871,"Perfection Bakeries, Inc.",258,31
1120872,"Perfection Bakeries, Inc.",283,60
1120873,Glencourt Inc.,594,32
1120874,"Safeway, Inc.",29,85
1120875,Glencourt Inc.,594,32
1120876,Glencourt Inc.,594,32
1120877,"POWERFUL MEN, LLC",440,25
1120878,Urban Remedy,577,26
1120879,"Whole Foods Market, Inc.",600,15
1120880,Nash Finch Company,357,28
1120881,"Brandstorm Inc,",0,1.399999976
1120882,North Dallas Honey Company LP,357,14
1120883,"Colavita USA, LLC ",150,30
1120884,"Colavita USA, LLC ",375,56
1120885,"Colavita USA, LLC ",67,15
1120886,"Colavita USA, LLC ",800,15
1120887,"Colavita USA, LLC ",375,56
1120888,"Colavita USA, LLC ",167,15
1120889,"Colavita USA, LLC ",31,130
1120890,"Colavita USA, LLC ",375,56
1120891,"Colavita USA, LLC ",800,15
1120892,"Colavita USA, LLC ",800,15
1120893,"Colavita USA, LLC ",375,56
1120894,"Colavita USA, LLC ",56,125
1120895,"Colavita USA, LLC ",56,125
1120896,The Kroger Co.,500,28
1120897,Target Stores,358,67
1120898,"Topco Associates, Inc.",229,35
1120899,"Whole Foods Market, Inc.",54,240
1120900,Classic Cooking Inc.,123,57
1120901,The Kroger Co.,594,32
1120902,"West End Enterprises, LLC",243,140
1120903,"Tribe 9 Foods, LLC",594,32
1120904,NatGood Operation LLC,179,70
1120905,"Brandstorm Inc,",0,1.399999976
1120906,"Brandstorm Inc,",0,1.399999976
1120907,"Brandstorm Inc,",0,1.399999976
1120908,"Brandstorm Inc,",0,1.399999976
1120909,"Brandstorm Inc,",0,1.399999976
1120910,"Brandstorm Inc,",0,1.399999976
1120911,"Brandstorm Inc,",0,1.399999976
1120912,"Brandstorm Inc,",0,1.399999976
1120913,"Brandstorm Inc,",0,1.399999976
1120914,"Corky's Food Manufacturing, LP",132,34
1120915,"Brandstorm Inc,",0,1.600000024
1120916,"Bob's Red Mill Natural Foods, Inc.",378,45
1120917,"Bimbo Bakeries USA, Inc.",340,47
1120918,Target Stores,442,43
1120919,"Hy-Vee, Inc.",500,40
1120920,"Wise Foods, Inc.",500,28
1120921,"Hy-Vee, Inc.",667,30
1120922,"Hy-Vee, Inc.",571,28
1120923,"Hy-Vee, Inc.",567,30
1120924,"Green Grass Foods, Inc ",67,15
1120925,Fresh Gourmet Company,448,2.230000019
1120926,"Taste of Nature, Inc.",400,30
1120927,"LIVE Soda, LLC",0,360
1120928,"Whole Foods Market, Inc.",233,15
1120929,The Kroger Co.,0,354
1120930,GS1 Mexico,536,28
